scenario,intensity_num,config,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio,intensity_norm
asian_debt,0.01,mask_S,1175747834813.47,6821251073.62177,1178707417.52275,18.1443198866881,0.01
asian_debt,0.01,mask_SU,1175747834813.47,155572608724.187,168088141.001001,13.6694108381833,0.01
asian_debt,0.01,mask_SUR,1175747834813.47,658890240710.463,30376315.1933025,5.30439816952098,0.01
asian_debt,0.01,mask_SURC,1175747834813.47,658811485672.511,58448990.9780831,6.00286244439907,0.01
asian_debt,0.05,mask_S,1175747832692.61,6042327204.17313,5890373987.65762,3.94081706183599,0.05
asian_debt,0.05,mask_SU,1175747832692.61,153421417626.362,92218070.5237867,3.26150663783906,0.05
asian_debt,0.05,mask_SUR,1175747832692.61,658744708590.991,27997872.5266223,1.10112830823549,0.05
asian_debt,0.05,mask_SURC,1175747832692.61,658713568830.95,47573627.9964333,1.11989872571072,0.05
asian_debt,0.1,mask_S,1175747830235.93,3756167587.33965,3588991460.6782,2.30173121712177,0.1
asian_debt,0.1,mask_SU,1175747830235.93,153007931833.233,89123702.0182404,1.7545447724237,0.1
asian_debt,0.1,mask_SUR,1175747830235.93,658935672315.258,28633152.7446789,0.596341954462901,0.1
asian_debt,0.1,mask_SURC,1175747830235.93,658176086749.48,45606059.1794644,0.593204729238446,0.1
asian_debt,0.15,mask_S,1175747827995.23,2251347737.5614,2058409491.52007,1.76879612781942,0.15
asian_debt,0.15,mask_SU,1175747827995.23,160993217637.671,166229581.903401,1.0352826949105,0.15
asian_debt,0.15,mask_SUR,1175747827995.23,658822633248.242,29108924.0107892,0.422706747896299,0.15
asian_debt,0.15,mask_SURC,1175747827995.23,658627940469.271,45228325.7004934,0.421846739714506,0.15
asian_debt,0.2,mask_S,1175747825970.53,1631960063.56704,1422753964.38968,1.48312535625939,0.2
asian_debt,0.2,mask_SU,1175747825970.53,160913397536.099,164443040.707198,0.847150026320261,0.2
asian_debt,0.2,mask_SUR,1175747825970.53,658693959081.89,30179932.5389742,0.337554532181524,0.2
asian_debt,0.2,mask_SURC,1175747825970.53,659065036205.335,45047071.8293644,0.34053926182448,0.2
