scenario,intensity_num,config,n_runs,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio,lambda1_static_se,lambda1_dyn_se,lambda1_star_se,amp_ratio_se
eba,0.05,mask_S,1,1175747835365.28,760016139.033052,629975839.715737,1.42747314279235,,,,
eba,0.05,mask_SU,1,1175747835365.28,161554466020.427,872702893.249049,1.01722656039258,,,,
eba,0.05,mask_SUR,1,1175747835365.28,659173715778.02,26728696.8421125,0.299681342208951,,,,
eba,0.1,mask_S,1,1175747835365.28,629583976.109679,615835766.766869,0.759319003183181,,,,
eba,0.1,mask_SU,1,1175747835365.28,156909579687.431,10053814479.0285,0.585151052748359,,,,
eba,0.1,mask_SUR,10,1175747835365.28,659902903468.508,36668381.4300341,0.148747956206221,0,580077718.314705,2316380.36348301,0.00500583140651546
eba,0.1,mask_SURC,10,1175747835365.28,657869516025.579,43687450.9512873,0.155559671501682,0,496612792.609509,242982.193943211,0.000183167896250661
eba,0.15,mask_S,1,1175747835365.28,620058883.018747,614495674.884898,0.525216387307726,,,,
eba,0.15,mask_SU,1,1175747835365.28,156993456054.229,8506178961.48503,0.463920221504019,,,,
eba,0.15,mask_SUR,1,1175747835365.28,659265435955.638,403781753.633746,0.103010843952022,,,,
eba,0.2,mask_S,1,1175747835365.28,617755127.409597,614032148.070554,0.43208941039056,,,,
eba,0.2,mask_SU,1,1175747835365.28,152478201162.714,8383926822.19109,0.331805186132051,,,,
eba,0.2,mask_SUR,10,1175747835365.28,660605388616.548,310949818.84225,0.0830972330497578,0,611977397.610845,8224896.18187832,0.00135094822525107
eba,0.2,mask_SURC,10,1175747835365.28,656892831402.161,421730343.639832,0.135898558060409,0,450226480.816832,24189052.3418964,0.00337883627508441
eba,0.25,mask_S,1,1175747835365.28,617846785.8105,614002921.270289,0.331389793269391,,,,
eba,0.25,mask_SU,1,1175747835365.28,158339037613.96,8659533939.49578,0.37479796512887,,,,
eba,0.25,mask_SUR,1,1175747835365.28,658165297482.317,76243669.7619015,0.105411005139301,,,,
eba,0.3,mask_S,1,1175747835365.28,617595763.757847,613855453.651801,0.282206749611578,,,,
eba,0.3,mask_SU,1,1175747835365.28,1578427430.33973,724776220.066875,0.258999167605863,,,,
eba,0.3,mask_SUR,10,1175747835365.28,658231009872.754,48241564.1146238,0.0880882932165688,0,502698185.464134,2134622.98479124,0.000409833461406265
eba,0.3,mask_SURC,10,1175747835365.28,657421497929.044,106577238.824899,0.103000181229217,0,217332752.467825,2457554.13216331,9.14574022864468e-05
eba,0.4,mask_S,1,1175747835365.28,617230058.257154,613547518.791263,0.210737500176649,,,,
eba,0.4,mask_SU,1,1175747835365.28,617230058.257154,613547518.791263,0.210737500176649,,,,
eba,0.4,mask_SUR,10,1175747835365.28,14328848106.227,77758214.698582,0.11769251966447,0,64963614.6086369,3229429.9595879,0.000271703254218087
eba,0.4,mask_SURC,10,1175747835365.28,12906353442.7757,96050505.3291299,0.128515238885571,0,76510266.9770237,2050747.84896398,0.000273758039709159
eba,0.5,mask_S,1,1175747835365.28,613947041.549907,611469517.557991,0.179410004992281,,,,
eba,0.5,mask_SU,1,1175747835365.28,613947041.549907,611469517.557991,0.179410004992281,,,,
eba,0.5,mask_SUR,10,1175747835365.28,13590926981.0244,81832221.9852754,0.103014994886279,0,68634796.2779393,2513178.95038865,0.000279274780487648
eba,0.5,mask_SURC,10,1175747835365.28,12639455251.4983,106271309.299667,0.110333648780106,0,136460026.818308,6664271.20242777,0.000159999565625325
eba,0.6,mask_S,1,1175747835365.28,610556381.739601,608305171.282528,0.153388014073307,,,,
eba,0.6,mask_SU,1,1175747835365.28,610556381.739601,608305171.282528,0.153388014073307,,,,
eba,0.6,mask_SUR,10,1175747835365.28,10193499443.6603,510491501.547773,0.0892679216689524,0,66305632.1259675,51680830.3266069,0.000127266108445904
eba,0.6,mask_SURC,10,1175747835365.28,10399300008.2956,2852629504.31172,0.0950914080713921,0,280772020.599561,753537722.200993,0.000382987239239765
eba,0.7,mask_S,1,1175747835365.28,602257071.57473,602023261.452641,0.132041978814899,,,,
eba,0.7,mask_SU,1,1175747835365.28,602257071.57473,602023261.452641,0.132041978814899,,,,
eba,0.7,mask_SUR,10,1175747835365.28,11525012329.5071,320586228.858031,0.0580268426893099,0,62998371.1104996,144208754.344704,0.000274721248211038
eba,0.7,mask_SURC,10,1175747835365.28,8900676662.57125,1266643834.52473,0.0806146456205402,0,229413331.741657,614117352.042773,0.000149854291487747
eba,0.75,mask_S,1,1175747835365.28,597189239.755546,596960422.398341,0.124165218681596,,,,
eba,0.75,mask_SU,1,1175747835365.28,597189239.755546,596960422.398341,0.124165218681596,,,,
eba,0.75,mask_SUR,1,1175747835365.28,11559983344.4447,41941561.7709317,0.0551268561116305,,,,
eba,0.8,mask_S,1,1175747835365.28,601933647.704638,601702400.344921,0.116850861923519,,,,
eba,0.8,mask_SU,1,1175747835365.28,601933647.704638,601702400.344921,0.116850861923519,,,,
eba,0.8,mask_SUR,10,1175747835365.28,4594822713.68112,4114890569.29936,0.0505162126078646,0,547517536.835249,685988596.711219,0.000243718136921352
eba,0.8,mask_SURC,10,1175747835365.28,8276797079.0961,8173903666.98171,0.0709737189743193,0,154317458.653693,154993879.613047,0.000149014320142913
eba,0.9,mask_S,1,1175747835365.28,587140602.91757,586920789.753752,0.105616034495666,,,,
eba,0.9,mask_SU,1,1175747835365.28,587140602.91757,586920789.753752,0.105616034495666,,,,
eba,0.9,mask_SUR,10,1175747835365.28,1204750447.76778,44135047.1010444,0.0442263161828895,0,2784052.58967718,2163241.20852034,0.000149334604938017
eba,0.9,mask_SURC,10,1175747835365.28,5113080496.74992,4742191108.70783,0.0628866377238809,0,1239149055.04028,1373268807.67002,0.000123505005467149
eba,1,mask_S,1,1175747835365.28,598905440.625131,598674864.142714,0.096112618599359,,,,
eba,1,mask_SU,1,1175747835365.28,598905440.625131,598674864.142714,0.096112618599359,,,,
eba,1,mask_SUR,10,1175747835365.28,1216107986.29998,37869966.2751436,0.038902431911413,0,3479460.93169116,1317630.06217172,0.000131520632240328
