scenario,intensity_num,config,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio
giips_debt,0.01,mask_S,1175747430854.09,5607486020.41733,5462674666.8787,2.52289958369999
giips_debt,0.01,mask_SU,1175747430854.09,156710632319.933,97505702.6649445,1.84360720877771
giips_debt,0.01,mask_SUR,1175747430854.09,658187300258.516,37543803.7707184,0.686251273816698
giips_debt,0.01,mask_SURC,1175747430854.09,658294863423.533,49958159.4368012,0.688570276717585
giips_debt,0.01,mask_SURC_app-app_peak_weekly,1175747430854.09,657655481414.067,44629507.8470702,1.60971155674947
giips_debt,0.01,mask_SUR_app-app_peak_weekly,1175747430854.09,658407997168.983,35459741.1890283,1.60517061040447
giips_debt,0.01,mask_SU_app-app_peak_weekly,1175747430854.09,156712774790.655,97669367.0248648,1.86310210624036
giips_debt,0.01,mask_S_app-app_peak_weekly,1175747430854.09,5795089956.03831,5651087359.05455,2.42976493625515
giips_debt,0.05,mask_S,1175745874511.29,1044713629.01079,832733018.573542,0.682971335293282
giips_debt,0.05,mask_SU,1175745874511.29,147099766641.428,111534682.837739,0.432659690689698
giips_debt,0.05,mask_SUR,1175745874511.29,657555398720.665,35563063.5236123,0.146731675187546
giips_debt,0.05,mask_SURC,1175745874511.29,656821453242.609,44962765.843998,0.146345778337447
giips_debt,0.05,mask_SURC_app-app_peak_weekly,1175745874511.29,657824409120.028,43940448.8697812,0.336352956989336
giips_debt,0.05,mask_SUR_app-app_peak_weekly,1175745874511.29,658319754057.8,33354541.776689,0.321563295938337
giips_debt,0.05,mask_SU_app-app_peak_weekly,1175745874511.29,147094175013.7,110398886.263263,0.441414417384487
giips_debt,0.05,mask_S_app-app_peak_weekly,1175745874511.29,1093085921.28594,884601290.497709,0.663660967546431
giips_debt,0.1,mask_S,1175744067910.43,626089300.675596,617651115.311087,0.398805010059642
giips_debt,0.1,mask_SU,1175744067910.43,28879239473.1628,102897389.894747,0.22541405705805
giips_debt,0.1,mask_SUR,1175744067910.43,19641980366.575,32856404.312844,0.12820916713991
giips_debt,0.1,mask_SURC,1175744067910.43,19196568183.767,44077766.4127587,0.130410916530666
giips_debt,0.1,mask_SURC_app-app_peak_weekly,1175744067910.43,19261893409.0733,43343889.2947958,0.22058217829438
giips_debt,0.1,mask_SUR_app-app_peak_weekly,1175744067910.43,19614596437.3894,32204438.4230245,0.226558086276514
giips_debt,0.1,mask_SU_app-app_peak_weekly,1175744067910.43,28884121800.5256,113844295.296381,0.233192558787771
giips_debt,0.1,mask_S_app-app_peak_weekly,1175744067910.43,628447440.709893,618314339.608924,0.387903710859633
giips_debt,0.15,mask_S,1175742415236.54,618547506.811335,614433274.386271,0.291353675063479
giips_debt,0.15,mask_SU,1175742415236.54,162542725172.072,93122251.3457228,0.156488815656439
giips_debt,0.15,mask_SUR,1175742415236.54,19125985628.1983,30672737.7525508,0.124698625404729
giips_debt,0.15,mask_SURC,1175742415236.54,18426768745.6488,43462880.3954906,0.127356803625877
giips_debt,0.15,mask_SURC_app-app_peak_weekly,1175742415236.54,18729372174.2846,43265995.1712299,0.209276857037993
giips_debt,0.15,mask_SUR_app-app_peak_weekly,1175742415236.54,19403796426.5844,29743133.3428722,0.207623939509376
giips_debt,0.15,mask_SU_app-app_peak_weekly,1175742415236.54,162555670232.39,93635394.0555482,0.16657038515497
giips_debt,0.15,mask_S_app-app_peak_weekly,1175742415236.54,618906869.932669,614657669.996149,0.281682801237993
giips_debt,0.2,mask_S,1175740917138.49,617289892.586663,614227868.382209,0.247086414106574
giips_debt,0.2,mask_SU,1175740917138.49,866170751.982211,73540422.9673903,0.243971638351469
giips_debt,0.2,mask_SUR,1175740917138.49,19223003457.0581,94239822.8413218,0.127338702105668
giips_debt,0.2,mask_SURC,1175740917138.49,18288211584.3661,93268424.1329376,0.132583318695196
giips_debt,0.2,mask_SURC_app-app_peak_weekly,1175740917138.49,19651665771.0545,175952599.114297,0.200370172634845
giips_debt,0.2,mask_SUR_app-app_peak_weekly,1175740917138.49,19060462890.5131,188908528.558587,0.192277059606215
giips_debt,0.2,mask_SU_app-app_peak_weekly,1175740917138.49,866517244.010341,157947158.920001,0.249405573987458
giips_debt,0.2,mask_S_app-app_peak_weekly,1175740917138.49,617376842.270914,614280150.972335,0.238797418465572
