scenario,intensity_num,config,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio
russia_shock,0.01,mask_S,1175747835365.28,1253134132.38408,1004526151.63752,3.38449348842615
russia_shock,0.01,mask_SU,1175747835365.28,159628958891.078,1324833321.05902,2.44059685159586
russia_shock,0.01,mask_SUR,1175747835365.28,658858437213.072,32968958.6701554,0.738952067290942
russia_shock,0.01,mask_SURC,1175747835365.28,659631157682.902,60710995.2520694,0.805814474411944
russia_shock,0.05,mask_S,1175747835365.28,1489135445.13283,1216455659.23839,2.33647345124357
russia_shock,0.05,mask_SU,1175747835365.28,157250358955.869,2860926703.77498,1.58211903039701
russia_shock,0.05,mask_SUR,1175747835365.28,660540492986.037,33150759.0616065,0.52313966202082
russia_shock,0.05,mask_SURC,1175747835365.28,660239007873.241,63607200.3049751,0.599848754052749
russia_shock,0.1,mask_S,1175747835365.28,2570265508.43603,2308552755.40873,1.7155238901638
russia_shock,0.1,mask_SU,1175747835365.28,150680206810.813,171901049.351528,1.12308264327756
russia_shock,0.1,mask_SUR,1175747835365.28,660268371338.919,32287720.2982359,0.423865096298196
russia_shock,0.1,mask_SURC,1175747835365.28,660489362908.607,60448813.0061501,0.454474401113732
russia_shock,0.15,mask_S,1175747835365.28,4012914228.06404,3802293322.40516,1.33072199463896
russia_shock,0.15,mask_SU,1175747835365.28,149404954380.624,172458540.948627,0.935615885300109
russia_shock,0.15,mask_SUR,1175747835365.28,661321627307.91,33562889.5028282,0.354607844021315
russia_shock,0.15,mask_SURC,1175747835365.28,660356599348.904,65017067.0907918,0.407712778840689
russia_shock,0.2,mask_S,1175747835365.28,3925490043.28303,3701381230.173,1.13470154924018
russia_shock,0.2,mask_SU,1175747835365.28,149402739240.591,172494177.508417,0.78876831077934
russia_shock,0.2,mask_SUR,1175747835365.28,661438495134.118,33503075.3038758,0.299490254260817
russia_shock,0.2,mask_SURC,1175747835365.28,660808923377.588,60579025.7629067,0.328911131466973
