scenario,intensity_num,config,lambda1_static,lambda1_dyn,lambda1_star,amp_ratio,intensity_norm
south_res,0.01,mask_S,1175747835365.28,3656312107.39674,3505943605.7548,1.33347232476685,0.05
south_res,0.01,mask_SU,1175747835365.28,155047883324.948,92485986.4368949,0.93144043367533,0.05
south_res,0.01,mask_SUR,1175747835365.28,658594284946.05,36762236.9608027,0.330492126128273,0.05
south_res,0.01,mask_SURC,1175747835365.28,657577021313.914,47581292.952396,0.335903205914498,0.05
south_res,0.05,mask_S,1175747835365.28,624176330.224986,617261952.681414,0.354321975136755,0.25
south_res,0.05,mask_SU,1175747835365.28,165153847529.489,174857502.008955,0.171888336077687,0.25
south_res,0.05,mask_SUR,1175747835365.28,657993411520.205,34292007.3760185,0.0721916683877365,0.25
south_res,0.05,mask_SURC,1175747835365.28,657706319633.107,50732980.1309517,0.084060467679446,0.25
south_res,0.1,mask_S,1175747835365.28,621120326.710132,614500330.640912,0.192927128225158,0.5
south_res,0.1,mask_SU,1175747835365.28,868011096.51634,135537401.89747,0.190063153433011,0.5
south_res,0.1,mask_SUR,1175747835365.28,13898743256.2411,2513055722.57604,0.0988274497292806,0.5
south_res,0.1,mask_SURC,1175747835365.28,14796143649.1666,5157523164.63413,0.100943724771855,0.5
south_res,0.15,mask_S,1175747835365.28,619602268.738125,614016044.281568,0.139331839822637,0.75
south_res,0.15,mask_SU,1175747835365.28,619602268.738125,614016044.281568,0.139331839822637,0.75
south_res,0.15,mask_SUR,1175747835365.28,12445718628.9938,366320843.945034,0.0619752568022676,0.75
south_res,0.15,mask_SURC,1175747835365.28,12037189177.4684,883900103.367415,0.0693293352340025,0.75
south_res,0.2,mask_S,1175747834283.83,618719836.372376,613793932.307299,0.121812344288289,1
south_res,0.2,mask_SU,1175747834283.83,618719836.372376,613793932.307299,0.121812344288289,1
south_res,0.2,mask_SUR,1175747834283.83,12473171219.1482,413036909.932203,0.0487634918197494,1
south_res,0.2,mask_SURC,1175747834283.83,11741406456.8265,322207447.291363,0.0531797161038971,1
