arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label,intensity_norm
mask_S,0.1,0.1,1,1178459608115.54,1153542053755.65,1130596761647.75,1123739598377.03,2.58356037229742,1.989116221051,28.8080553175318,1153542053755.65,1123739598377.03,1,0,0,0,0,2.5835603722974,1,,,,,,,,,,,,,,,,,S (sales only),0.1
mask_S,0.2,0.2,1,1178459608115.54,1128624499395.75,1102765968953.68,1095452896655.52,2.93911772764068,2.29115445003368,36.6613454338473,1128624499395.75,1095452896655.52,2,0,0,0,0,2.93911772764069,2,,,,,,,,,,,,,,,,,S (sales only),0.2
mask_S,0.3,0.3,1,1178459608115.54,1103706945035.86,1078073455684.02,1066417918103.63,3.37852607523613,2.32249053674388,59.2548146820894,1103706945035.86,1066417918103.63,3,0,0,0,0,3.3785260752361,3,,,,,,,,,,,,,,,,,S (sales only),0.3
mask_S,0.4,0.4,1,1178459608115.54,1078789390675.97,1052673176937.31,1041311383576.95,3.47408005890136,2.42088158860143,59.1460711434609,1078789390675.97,1041311383576.95,3,0,0,0,0,3.47408005890138,3,,,,,,,,,,,,,,,,,S (sales only),0.4
mask_S,0.5,0.5,1,1178459608115.54,1053871836316.07,1025754459569.34,742475913077.861,29.547798176933,2.66800722609851,2052.74999193537,1053871836316.07,742475913077.861,8,0,0,0,0,29.5477981769331,8,,,,,,,,,,,,,,,,,S (sales only),0.5
mask_S,0.6,0.6,1,1178459608115.54,1028954281956.18,999668573720.156,707824832921.468,31.2093019744475,2.84616223962321,2141.85420094629,1028954281956.18,707824832921.468,10,0,0,0,0,31.2093019744475,10,,,,,,,,,,,,,,,,,S (sales only),0.6
mask_S,0.7,0.7,1,1178459608115.54,1004036727596.29,974087512493.553,544894730654.543,45.7296017488276,2.98288043450682,3191.99126967083,1004036727596.29,544894730654.543,13,0,0,0,0,45.7296017488276,13,,,,,,,,,,,,,,,,,S (sales only),0.7
mask_S,0.8,0.8,1,1178459608115.54,979119173236.392,947962300284.71,447464776911.25,54.2992529262608,3.18213286015999,3709.29809776658,979119173236.392,447464776911.25,17,0,0,0,0,54.2992529262608,17,,,,,,,,,,,,,,,,,S (sales only),0.8
mask_S,0.9,0.9,1,1178459608115.54,954201618876.499,921774441049.922,435175841299.85,54.3937221766363,3.39835703326063,3730.82763283452,954201618876.498,435175841299.85,19,0,0,0,0,54.3937221766363,19,,,,,,,,,,,,,,,,,S (sales only),0.9
mask_S,1,1,1,1178459608115.54,929284064516.605,896720950670.195,426150872600.103,54.1420229968349,3.50410763401487,3737.62431775521,929284064516.605,426150872600.103,19,0,0,0,0,54.1420229968349,19,,,,,,,,,,,,,,,,,S (sales only),1
