arm,intensity,intensity_num,n_runs,eq_init_sys,eq_t0_sys,eq_frozen_sys,eq_zero_sys,eq_loss_resid_pct,eq_loss_frozen_pct,njc_bn,eq_t0,eq_final,n_defaults_ill,n_defaults_ins,prompted_liq_bn,repo_pledged_bn,cb_pledged_bn,eq_loss_pct,n_defaults,eq_init_sys_se,eq_t0_sys_se,eq_frozen_sys_se,eq_zero_sys_se,eq_loss_resid_pct_se,eq_loss_frozen_pct_se,njc_bn_se,eq_t0_se,eq_final_se,n_defaults_ill_se,n_defaults_ins_se,prompted_liq_bn_se,repo_pledged_bn_se,cb_pledged_bn_se,eq_loss_pct_se,n_defaults_se,arm_label,intensity_norm
mask_S,0.01,0.01,1,1178459608115.54,1169070883120.07,1147763974015.06,1127931267767.37,3.51900093884043,1.82255066075672,86.615001460307,1169070883120.07,1127931267767.37,2,0,0,0,0,3.51900093884041,2,,,,,,,,,,,,,,,,,S (sales only),0.01
mask_S,0.05,0.05,1,1178459608115.54,1164964687314.69,1143517881028.83,1124491091635.06,3.47423369311921,1.84098338081748,86.882691514436,1164964687314.69,1124491091635.06,2,0,0,0,0,3.47423369311921,2,,,,,,,,,,,,,,,,,S (sales only),0.05
mask_S,0.1,0.1,1,1178459608115.54,1159391828029.32,1137886762327.96,1119996006897.34,3.39797298717747,1.85485745038482,87.1976405531062,1159391828029.32,1119996006897.34,2,0,0,0,0,3.39797298717749,2,,,,,,,,,,,,,,,,,S (sales only),0.1
mask_S,0.15,0.15,1,1178459608115.54,1155579426858.5,1133945542033.75,1116676271085.82,3.36654970385203,1.87212443575239,87.3275413185701,1155579426858.5,1116676271085.82,2,0,0,0,0,3.36654970385203,2,,,,,,,,,,,,,,,,,S (sales only),0.15
mask_S,0.2,0.2,1,1178459608115.54,1152647254744.95,1131011906927.47,1113469318923.36,3.3989527724388,1.87701378096501,95.4515151017061,1152647254744.95,1113469318923.36,3,0,0,0,0,3.3989527724388,3,,,,,,,,,,,,,,,,,S (sales only),0.2
mask_S,0.5,0.5,1,1178459608115.54,1133293763949.13,1111242814623.27,1080315654507.79,4.67470228166846,1.94573993322089,200.817262414712,1135349054638.08,1080315654507.79,5,4,0,0,0,4.84726700616556,9,,,,,,,,,,,,,,,,,S (sales only),0.5
mask_S,1,1,1,1178459608115.54,1102211584699.13,1079970637906.43,1051469675402.51,4.60364507151093,2.01784730821685,291.45265213358,1111119688456.16,1051469675402.51,6,5,0,0,0,5.36845973241048,11,,,,,,,,,,,,,,,,,S (sales only),1
mask_SU,0.01,0.01,1,1178459608115.54,1169070883120.07,1150703264405.53,1150703264405.53,1.57112960212655,1.57112960212655,0,1169070883120.07,1150703264405.53,0,0,0,0,0,1.57112960212653,0,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.01
mask_SU,0.05,0.05,1,1178459608115.54,1164964687314.69,1145382258817.44,1145382258817.44,1.68094610166993,1.68094610166993,0,1164964687314.69,1145382258817.44,0,0,0,0,0,1.68094610166995,0,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.05
mask_SU,0.1,0.1,1,1178459608115.54,1159391828029.32,1136564968639.89,1136564968639.89,1.96886495467391,1.96886495467391,0,1159391828029.32,1136564968639.89,0,0,0,0,0,1.96886495467393,0,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.1
mask_SU,0.15,0.15,1,1178459608115.54,1155579426858.5,1136817578329.54,1126579701382.31,2.50953978602977,1.62358796746287,58.4935047160461,1155579426858.5,1126579701382.31,1,0,0,0,0,2.50953978602977,1,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.15
mask_SU,0.2,0.2,1,1178459608115.54,1152647254744.95,1133899565504.81,1123388325646.64,2.5384113810935,1.62648973161222,66.6174921404542,1152647254744.95,1123388325646.64,2,0,0,0,0,2.53841138109352,2,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.2
mask_SU,0.5,0.5,1,1178459608115.54,1133293763949.13,1110805735383.16,1086909275059.49,4.09289191956834,1.98430709506508,171.983192483867,1135349054638.08,1086909275059.49,4,4,0,0,0,4.26650987911687,8,,,,,,,,,,,,,,,,,S+U (+ unsecured),0.5
mask_SU,1,1,1,1178459608115.54,1102211584699.13,1080365245301.21,1058892922058.95,3.93015853231174,1.98204588857481,262.618063422717,1111119688456.16,1058892922058.95,5,5,0,0,0,4.7003726907024,10,,,,,,,,,,,,,,,,,S+U (+ unsecured),1
mask_SUR,0.01,0.01,10,1178459608115.54,1169070883120.07,1163581063630.15,1163581063630.15,0.469588249026328,0.469588249026328,0,1169070883120.07,1163581063630.15,0,0,0,26.4621982197464,0,0.469588249026305,0,0,0,10667337.3387113,10667337.3387113,0.000912462836320219,0.000912462836320219,0,0,10667337.3387337,0,0,0,0.224333019165097,0,0.000912462836322139,0,S+U+R (+ repo),0.01
mask_SUR,0.05,0.05,10,1178459608115.54,1164964687314.69,1159283997877.36,1159283997877.36,0.487627607873592,0.487627607873592,0,1164964687314.69,1159283997877.36,0,0,0,26.3838726615378,0,0.487627607873596,0,0,0,9560292.85838339,9560292.85838339,0.000820650871437182,0.000820650871437182,0,0,9560292.85838106,0,0,0,0.398078649224602,0,0.000820650871436979,0,S+U+R (+ repo),0.05
mask_SUR,0.1,0.1,10,1178459608115.54,1159391828029.32,1148518531724.92,1148518531724.92,0.937844828773933,0.937844828773933,0,1159391828029.32,1148518531724.92,0,0,0,26.694934388026,0,0.937844828773916,0,0,0,20846964.5978649,20846964.5978649,0.00179809483678177,0.00179809483678177,0,0,20846964.5978655,0,0,0,0.46442012472381,0,0.00179809483678181,0,S+U+R (+ repo),0.1
mask_SUR,0.15,0.15,10,1178459608115.54,1155579426858.5,1144740608639.62,1134504482903.26,1.82375555201179,0.937955277408974,58.5550399235004,1155579426858.5,1134504482903.26,1,0,0,28.4627659238053,0,1.82375555201178,1,0,0,16878134.8617037,16768425.5393755,0.00145108377231685,0.00146057765216432,0.000309576976000629,0,16768425.5394,0,0,0,0.472050155463359,0,0.00145108377231894,0,S+U+R (+ repo),0.15
mask_SUR,0.2,0.2,10,1178459608115.54,1152647254744.95,1141808425944.68,1131298887624.14,1.85211625091138,0.940342221408073,66.6784294864311,1152647254744.95,1131298887624.14,2,0,0,28.6432084322114,0,1.85211625091138,2,0,0,21059184.4129326,20872274.5614832,0.00181081197873514,0.00182702768138657,0.000539979043616269,0,20872274.5614808,0,0,0,0.48511803661175,0,0.0018108119787349,0,S+U+R (+ repo),0.2
mask_SUR,0.5,0.5,10,1178459608115.54,1133293763949.13,1122483862924.31,1098567441569.71,3.06419425254882,0.953848099114936,172.098598009499,1135349054638.08,1098567441569.71,4,4,0,26.7577984484671,0,3.23967443475755,8,0,0,18827305.8476135,18753398.2609117,0.0016547693861442,0.00166129087148657,0.000516982947192302,0,18753398.2608946,0,0,0,0.291942825049496,0,0.00165177380333247,0,S+U+R (+ repo),0.5
mask_SUR,1,1,10,1178459608115.54,1102211584699.13,1091648227643.64,1070134479280.45,2.91024934449785,0.958378336984887,263.414634724996,1111119688456.16,1070134479280.45,5,5,0,26.3688614209252,0,3.68864035094745,10,0,0,95853759.9189096,95203017.3704544,0.00863745388744411,0.00869649359973608,0.197956043111333,0,95203017.3704278,0,0,0,0.0611614667791544,0,0.00856820542012958,0,S+U+R (+ repo),1
mask_SURC,0.01,0.01,10,1178459608115.54,1169070883120.07,1163231198029.81,1163231198029.81,0.499515057177406,0.499515057177406,0,1169070883120.07,1163231198029.81,0,0,20.3462253634562,9.24421012051415,22.1664611910353,0.499515057177396,0,0,0,147958571.333965,147958571.333965,0.0126560821478237,0.0126560821478237,0,0,147958571.333959,0,0,0.129611759012919,0.195208286333471,0.152441943621129,0.0126560821478232,0,S+U+R+C (+ CB),0.01
mask_SURC,0.05,0.05,10,1178459608115.54,1164964687314.69,1158805753092.55,1158805753092.55,0.5286799067135,0.5286799067135,0,1164964687314.69,1158805753092.55,0,0,20.2457321230832,9.24834233244473,22.0147636622721,0.5286799067135,0,0,0,160408870.378839,160408870.378839,0.0137694191184963,0.0137694191184963,0,0,160408870.378873,0,0,0.0550313838696703,0.117075019080685,0.0516557144671898,0.0137694191184992,0,S+U+R+C (+ CB),0.05
mask_SURC,0.1,0.1,10,1178459608115.54,1159391828029.32,1148326273116.11,1148326273116.11,0.954427540861604,0.954427540861604,0,1159391828029.32,1148326273116.11,0,0,20.74033856075,11.4917333500101,22.5329714198605,0.9544275408616,0,0,0,128664179.983756,128664179.983756,0.0110975579500551,0.0110975579500551,0,0,128664179.983763,0,0,0.0866707182621282,0.485669204693624,0.0853479530554353,0.0110975579500556,0,S+U+R+C (+ CB),0.1
mask_SURC,0.15,0.15,10,1178459608115.54,1155579426858.5,1144204239461.72,1133969022543.16,1.87009251056747,0.984370882034521,60.0436178884653,1155579426858.5,1133969022543.16,1,0,20.6841268827551,13.0171134866807,27.894807922083,1.87009251056747,1,0,0,153914459.508107,154080377.366105,0.0133336033668391,0.0133192453872713,0.154516502332153,0,154080377.366136,0,0,0.149742883319338,0.160622101807049,1.6017987879257,0.0133336033668418,0,S+U+R+C (+ CB),0.15
mask_SURC,0.2,0.2,10,1178459608115.54,1152647254744.95,1141593088735.52,1131721376670.09,1.81546244861307,0.959024190959544,61.0441886429163,1152647254744.95,1131721376670.09,1,0,20.7813930456436,12.9150646862168,28.2000791230954,1.81546244861308,1,0,0,129914320.515837,129771045.564789,0.0112585220700069,0.0112709521478524,0.0757300115407576,0,129771045.564783,0,0,0.137838148831941,0.121498970074865,0.761384846785079,0.0112585220700064,0,S+U+R+C (+ CB),0.2
